epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.966,0.9535,4.44663,0.92703,0.39511,0.36852,0.30226,0.245,0.79119,2.16527,0.87876,0.0700728,0.00332524,0.00332524
2,774.205,0.95058,2.19546,0.91561,0.35371,0.41793,0.3445,0.26797,0.87527,2.40391,0.90701,0.039941,0.00652674,0.00652674
3,1172.58,1.04007,2.07837,0.93534,0.35388,0.39385,0.34243,0.26041,0.92736,2.15818,0.93388,0.00967714,0.00959623,0.00959623
4,1557.39,1.10579,2.17291,0.97015,0.4167,0.40473,0.37338,0.27908,1.00546,2.07602,0.96541,0.009406,0.009406,0.009406
5,1945.26,1.11416,2.03747,0.97417,0.4139,0.36952,0.34724,0.26137,0.98773,2.12861,0.96043,0.009208,0.009208,0.009208
6,2331.19,1.08559,1.94085,0.96739,0.38821,0.3811,0.3481,0.26845,0.98179,2.05866,0.96041,0.00901,0.00901,0.00901
7,2725.5,1.06268,1.85697,0.96163,0.51938,0.36924,0.41685,0.31744,0.946,1.82115,0.95232,0.008812,0.008812,0.008812
8,3113.16,1.06464,1.81433,0.96133,0.51994,0.38331,0.41043,0.31447,0.92607,1.85905,0.94302,0.008614,0.008614,0.008614
9,3499.66,1.02327,1.68987,0.94938,0.6236,0.41097,0.46811,0.36264,0.90359,1.66955,0.93289,0.008416,0.008416,0.008416
10,3886.08,1.0083,1.66558,0.94045,0.52793,0.4397,0.45737,0.35681,0.88273,1.68236,0.9241,0.008218,0.008218,0.008218
11,4272.47,0.99135,1.58894,0.93017,0.42695,0.48798,0.45411,0.36136,0.84759,1.75572,0.91396,0.00802,0.00802,0.00802
12,4656.68,0.9737,1.51551,0.92922,0.49762,0.47964,0.47488,0.3733,0.83898,1.68417,0.91036,0.007822,0.007822,0.007822
13,5039.62,0.96459,1.48548,0.92893,0.56512,0.47935,0.498,0.39603,0.8308,1.59047,0.90862,0.007624,0.007624,0.007624
14,5422.43,0.93784,1.4449,0.91542,0.51236,0.522,0.52724,0.41325,0.8324,1.47761,0.91004,0.007426,0.007426,0.007426
15,5805.26,0.93081,1.39589,0.90865,0.55522,0.44516,0.49042,0.39082,0.84375,1.56631,0.91461,0.007228,0.007228,0.007228
16,6188.28,0.93847,1.37845,0.92252,0.50032,0.50472,0.49992,0.39624,0.82116,1.57759,0.90589,0.00703,0.00703,0.00703
17,6574.92,0.92744,1.35434,0.90997,0.58192,0.49382,0.53574,0.42431,0.80132,1.42302,0.90171,0.006832,0.006832,0.006832
18,6957.94,0.90178,1.27769,0.91232,0.57477,0.48377,0.51013,0.40782,0.81502,1.50527,0.90298,0.006634,0.006634,0.006634
19,7341.39,0.90288,1.25448,0.90646,0.57778,0.53316,0.56158,0.44426,0.79478,1.3764,0.89544,0.006436,0.006436,0.006436
20,7724.25,0.88393,1.22552,0.90122,0.61935,0.50649,0.58131,0.47079,0.76348,1.32044,0.88794,0.006238,0.006238,0.006238
21,8106.91,0.87951,1.19573,0.89415,0.56927,0.54582,0.56416,0.45179,0.78206,1.43859,0.88854,0.00604,0.00604,0.00604
22,8489.67,0.86666,1.1526,0.89333,0.55517,0.56076,0.56468,0.45499,0.78388,1.32631,0.89468,0.005842,0.005842,0.005842
23,8872.26,0.85943,1.11806,0.89214,0.60892,0.53104,0.56938,0.46083,0.78077,1.37123,0.89468,0.005644,0.005644,0.005644
24,9254.75,0.86972,1.11604,0.89209,0.65988,0.51728,0.59976,0.4805,0.78713,1.31568,0.89323,0.005446,0.005446,0.005446
25,9637.43,0.84902,1.06262,0.88475,0.63048,0.56502,0.61419,0.49296,0.77311,1.27258,0.89036,0.005248,0.005248,0.005248
26,10019.9,0.84179,1.03488,0.8904,0.56645,0.58236,0.60721,0.49067,0.7498,1.33303,0.88093,0.00505,0.00505,0.00505
27,10402.3,0.82834,0.98629,0.88333,0.66874,0.5396,0.61738,0.49901,0.75227,1.31583,0.87813,0.004852,0.004852,0.004852
28,10784.3,0.83693,0.98921,0.88516,0.69534,0.54585,0.63885,0.517,0.74907,1.20187,0.88322,0.004654,0.004654,0.004654
29,11166.3,0.81175,0.91894,0.87553,0.64446,0.60098,0.64611,0.52722,0.72881,1.19309,0.87795,0.004456,0.004456,0.004456
30,11548.3,0.80263,0.93637,0.87381,0.64045,0.59182,0.64053,0.52322,0.72967,1.19354,0.87791,0.004258,0.004258,0.004258
31,11930.2,0.78929,0.88865,0.87248,0.6516,0.59511,0.63869,0.52033,0.73738,1.2449,0.88018,0.00406,0.00406,0.00406
32,12312.2,0.78033,0.85427,0.86436,0.68083,0.61731,0.66746,0.54717,0.71792,1.15011,0.87785,0.003862,0.003862,0.003862
33,12694,0.78395,0.86167,0.87114,0.77007,0.52589,0.64531,0.52475,0.71556,1.24945,0.87531,0.003664,0.003664,0.003664
34,13075.6,0.76827,0.80745,0.86785,0.75095,0.57831,0.66917,0.54534,0.71646,1.16984,0.87299,0.003466,0.003466,0.003466
35,13457.3,0.76838,0.79368,0.86521,0.66235,0.59184,0.63932,0.51813,0.73775,1.23706,0.87586,0.003268,0.003268,0.003268
36,13838.9,0.76198,0.78584,0.86364,0.69869,0.62267,0.66686,0.5442,0.73308,1.15342,0.88655,0.00307,0.00307,0.00307
37,14220.5,0.73165,0.76021,0.85741,0.63416,0.61219,0.65784,0.5406,0.7204,1.14852,0.88235,0.002872,0.002872,0.002872
